,collectionDate,InBedsOccAnyPat__Numbeds_Est
0,Day for which estimate is made,"Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)"
949,17MAY2020,55.5
950,18MAY2020,57.0
951,19MAY2020,59.3
952,20MAY2020,61.1
953,21MAY2020,60.2
954,22MAY2020,59.9
955,23MAY2020,57.4
956,24MAY2020,56.0
957,25MAY2020,56.1
958,26MAY2020,57.3
959,27MAY2020,60.4
960,28MAY2020,61.0
961,29MAY2020,60.5
962,30MAY2020,58.1
963,31MAY2020,56.8
964,01JUN2020,58.9
965,02JUN2020,59.6
966,03JUN2020,59.5
967,04JUN2020,59.8
968,05JUN2020,58.4
969,06JUN2020,56.5
970,07JUN2020,55.6
971,08JUN2020,57.5
972,09JUN2020,63.9
973,10JUN2020,64.7
974,11JUN2020,66.4
975,12JUN2020,66.9
976,13JUN2020,58.9
977,14JUN2020,58.5
978,15JUN2020,60.2
979,16JUN2020,61.5
980,17JUN2020,61.3
981,18JUN2020,62.9
982,19JUN2020,74.5
983,20JUN2020,72.3
984,21JUN2020,69.3
985,22JUN2020,70.0
986,23JUN2020,74.5
987,24JUN2020,75.9
988,25JUN2020,75.9
989,26JUN2020,75.6
990,27JUN2020,70.1
991,28JUN2020,62.1
992,29JUN2020,69.8
993,30JUN2020,76.9
994,01JUL2020,77.7
995,02JUL2020,78.3
996,03JUL2020,73.5
997,04JUL2020,70.3
998,05JUL2020,69.5
999,06JUL2020,71.7
1000,07JUL2020,72.6
1001,01APR2020,56.0
1002,02APR2020,58.3
1003,03APR2020,56.6
1004,04APR2020,56.0
1005,05APR2020,54.7
1006,06APR2020,55.3
1007,07APR2020,58.9
1008,08APR2020,64.0
1009,09APR2020,63.4
1010,10APR2020,59.6
1011,11APR2020,56.8
1012,12APR2020,53.6
1013,13APR2020,55.4
1014,14APR2020,57.2
1015,15APR2020,59.8
1016,16APR2020,59.6
1017,17APR2020,57.7
1018,18APR2020,55.3
1019,19APR2020,55.5
1020,20APR2020,59.3
1021,21APR2020,60.6
1022,22APR2020,61.5
1023,23APR2020,60.3
1024,24APR2020,61.1
1025,25APR2020,60.7
1026,26APR2020,60.4
1027,27APR2020,61.4
1028,28APR2020,62.2
1029,29APR2020,63.0
1030,30APR2020,60.4
1031,01MAY2020,61.3
1032,02MAY2020,58.8
1033,03MAY2020,58.1
1034,04MAY2020,58.8
1035,05MAY2020,63.0
1036,06MAY2020,64.0
1037,07MAY2020,64.1
1038,08MAY2020,62.8
1039,09MAY2020,60.4
1040,10MAY2020,57.7
1041,11MAY2020,58.5
1042,12MAY2020,61.6
1043,13MAY2020,62.7
1044,14MAY2020,62.5
1045,15MAY2020,61.6
1046,16MAY2020,59.6
1047,17MAY2020,57.9
1048,18MAY2020,59.2
1049,19MAY2020,63.6
1050,20MAY2020,63.9
1051,21MAY2020,65.5
1052,22MAY2020,64.2
1053,23MAY2020,62.1
1054,24MAY2020,56.9
1055,25MAY2020,60.2
1056,26MAY2020,60.3
1057,27MAY2020,64.9
1058,28MAY2020,61.5
1059,29MAY2020,66.1
1060,30MAY2020,63.1
1061,31MAY2020,60.8
1062,01JUN2020,61.2
1063,02JUN2020,64.4
1064,03JUN2020,66.1
1065,04JUN2020,65.9
